Car Name,Price,Engine,Mileage
Mahindra Scorpio,Rs.12.39 - 15.99 Lakh,2179,16.36
Toyota Fortuner,Rs.28.18 - 33.95 Lakh,2694,10.01
Maruti Swift,Rs.5.19 - 8.02 Lakh,1197,21.21
Land Rover Range Rover,Rs.1.82 - 4.06 Cr,2993,13.33
Hyundai Elite i20,Rs.5.59 - 9.2 Lakh,1197,18.6
Mahindra Thar,Rs.9.59 - 9.99 Lakh,2498,16.55
Kia Seltos,Rs.9.89 - 17.34 Lakh,1497,16.8
Maruti Vitara Brezza,Rs.7.34 - 11.4 Lakh,1462,17.03
Hyundai Creta,Rs.9.99 - 17.2 Lakh,1497,16.8
Maruti Baleno,Rs.5.63 - 8.96 Lakh,1197,21.01
Renault KWID,Rs.2.92 - 5.01 Lakh,799,25.17
Ford Mustang,Rs.74.62 Lakh,4951,13
Toyota Innova Crysta,Rs.15.36 - 23.02 Lakh,2694,11.25
Maruti Dzire,Rs.5.89 - 8.8 Lakh,1197,23.26
Honda City,Rs.9.91 - 14.31 Lakh,1497,17.4
Tata Nexon,Rs.6.95 - 12.7 Lakh,1199,17
Tata Harrier,Rs.13.69 - 20.25 Lakh,1956,17
Hyundai Venue,Rs.6.69 - 11.39 Lakh,1197,17.52
Volkswagen Polo,Rs.5.82 - 9.59 Lakh,999,18.78
Mahindra XUV500,Rs.13.19 - 17.69 Lakh,2179,15.1
Maruti Ertiga,Rs.7.59 - 10.13 Lakh,1462,19.01
Hyundai Grand i10,Rs.6.01 - 6.35 Lakh,1197,18.9
Ford EcoSport,Rs.8.04 - 11.66 Lakh,1496,15.9
Ford Endeavour,Rs.29.55 - 33.25 Lakh,1996,13.9
Bugatti Chiron,Rs.19.21 - 21.21 Cr,7993,5.95
MG Hector,Rs.12.73 - 17.72 Lakh,1451,14.16
Mahindra XUV300,Rs.8.3 - 12.69 Lakh,1197,17
Maruti Wagon R,Rs.4.45 - 5.94 Lakh,998,21.79
Renault Triber,Rs.4.99 - 6.82 Lakh,999,20
Jeep Compass,Rs.16.49 - 24.99 Lakh,1368,16
Maruti Alto 800,Rs.2.94 - 4.36 Lakh,796,22.05
Maruti S-Cross,Rs.8.8 - 11.43 Lakh,1248,25.1
Honda Civic,Rs.17.93 - 21.24 Lakh,1799,16.5
Maruti Celerio,Rs.4.41 - 5.58 Lakh,998,21.63
DC Avanti,Rs.48.0 Lakh,2000,10
Honda Amaze,Rs.6.09 - 9.95 Lakh,1199,18.6
Maruti Ciaz,Rs.8.31 - 11.09 Lakh,1462,20.65
Lamborghini Aventador,Rs.5.01 - 6.25 Cr,6498,5
Land Rover Range Rover Velar,Rs.71.87 Lakh,1997,15.8
Tata Safari Storme,Rs.11.09 - 16.43 Lakh,2179,14.1
Maruti S-Presso,Rs.3.7 - 4.99 Lakh,998,21.4
Jeep Wrangler,Rs.63.94 - 68.94 Lakh,1998,12.1
Hyundai Santro,Rs.4.57 - 6.2 Lakh,1086,20.3
Lamborghini Urus,Rs.3.1 Cr,3996,8
Maruti Ignis,Rs.4.89 - 7.19 Lakh,1197,20.89
Ford Figo,Rs.5.39 - 7.85 Lakh,1194,18.5
Skoda Rapid,Rs.8.81 - 14.25 Lakh,1598,15.41
Nissan GT-R,Rs.2.12 Cr,3798,9
Audi A4,Rs.41.49 - 46.96 Lakh,1395,17.84
Toyota Yaris,Rs.8.76 - 14.18 Lakh,1496,17.1
Maruti XL6,Rs.9.84 - 11.51 Lakh,1462,19.01
BMW 3 Series,Rs.41.7 - 48.5 Lakh,1998,16.13
Audi Q7,Rs.69.21 - 81.11 Lakh,2967,13.55
Lamborghini Huracan,Rs.2.99 - 3.97 Cr,5204,11.24
Mahindra KUV100 NXT,Rs.5.54 - 7.15 Lakh,1198,18.15
Maruti Eeco,Rs.3.8 - 4.95 Lakh,1196,16.11
Toyota Glanza,Rs.6.97 - 8.9 Lakh,1197,21.01
Hyundai Xcent,Rs.5.81 - 8.75 Lakh,1197,20.14
Tata Hexa,Rs.13.7 - 19.27 Lakh,2179,17.6
Porsche 718,Rs.85.95 - 89.95 Lakh,1988,9
Tata Tigor,Rs.5.75 - 7.49 Lakh,1199,20.3
Mahindra TUV 300,Rs.8.54 - 10.55 Lakh,1493,18.49
Mahindra Marazzo,Rs.9.99 - 14.76 Lakh,1497,17.3
Jaguar XJ,Rs.1.11 Cr,2993,14.47
Rolls Royce Ghost,Rs.5.25 - 6.83 Cr,6592,10.2
Ford Freestyle,Rs.5.89 - 8.19 Lakh,1194,18.5
Honda Jazz,Rs.7.45 - 9.4 Lakh,1199,18.2
Volkswagen Vento,Rs.8.86 - 13.29 Lakh,998,16.09
Hyundai Grand i10 Nios,Rs.5.04 - 8.04 Lakh,1197,20.7
Audi Q5,Rs.50.21 - 56.21 Lakh,1968,17.01
Skoda Octavia,Rs.15.99 - 36.0 Lakh,1395,16.7
BMW Z4,Rs.66.0 - 80.5 Lakh,1998,14.37
Hyundai Elantra,Rs.18.49 - 20.39 Lakh,1999,14.59
Land Rover Discovery,Rs.75.6 - 88.0 Lakh,1999,18
Rolls-Royce Cullinan,Rs.6.95 Cr,6750,9.5
BMW 7 Series,Rs.1.35 - 2.44 Cr,2993,17.66
Mercedes-Benz C-Class,Rs.40.9 - 75.0 Lakh,1950,11.9
Jaguar XF,Rs.49.78 - 61.39 Lakh,1999,19.33
Land Rover Range Rover Sport,Rs.87.02 Lakh - 1.0 Cr,1997,12.65
Volvo XC90,Rs.80.9 Lakh - 1.42 Cr,1969,17.2
Audi S5,Rs.72.65 Lakh,2995,12.28
Nissan Sunny,Rs.7.07 - 9.93 Lakh,1498,16.95
BMW X5,Rs.73.3 - 84.4 Lakh,2993,13.38
Nissan Kicks,Rs.9.55 - 13.69 Lakh,1498,14.23
Jeep Grand Cherokee,Rs.78.88 Lakh - 1.14 Cr,3604,12.8
Mahindra Alturas G4,Rs.28.69 - 31.69 Lakh,2157,12.35
Honda WRV,Rs.8.08 - 10.48 Lakh,1199,17.5
Hyundai Tucson,Rs.18.76 - 26.97 Lakh,1999,13.03
Datsun redi-GO,Rs.2.79 - 4.37 Lakh,799,22.7
BMW 5 Series,Rs.55.4 - 68.4 Lakh,1998,15.56
BMW X7,Rs.92.5 Lakh - 1.06 Cr,2993,13.38
Ford Aspire,Rs.5.99 - 8.34 Lakh,1194,18.5
Jaguar F-TYPE,Rs.90.93 Lakh - 2.8 Cr,1997,15.38
Bajaj Qute (RE60),Rs.2.48 - 2.78 Lakh,216,35
Skoda Superb,Rs.23.99 - 33.49 Lakh,1798,14.12
Datsun GO,Rs.3.74 - 6.18 Lakh,1198,19.83
Force Gurkha,Rs.9.75 - 13.3 Lakh,2596,17
Ferrari Portofino,Rs.3.5 Cr,3855,9
Toyota Prius,Rs.45.09 Lakh,1798,26.27
Nissan Micra,Rs.6.62 - 8.12 Lakh,1198,19.15
Toyota Camry,Rs.37.88 Lakh,2487,19.16
BMW X3,Rs.56.0 - 60.9 Lakh,1995,18.56
Skoda Kodiaq,Rs.33.99 - 36.78 Lakh,1968,16.25
Mitsubishi Pajero Sport,Rs.27.42 - 30.0 Lakh,2477,13.5
Mercedes-Benz E-Class,Rs.59.08 Lakh - 1.5 Cr,1991,15
Rolls Royce Wraith,Rs.6.22 - 7.21 Cr,6592,10.2
Mercedes-Benz S-Class,Rs.1.35 - 2.73 Cr,2925,13.5
Honda CR-V,Rs.28.27 Lakh,1997,14.4
Renault Captur,Rs.9.49 - 12.99 Lakh,1498,13.87
Datsun GO Plus,Rs.4.12 - 6.8 Lakh,1198,19.72
Audi A5,Rs.60.61 - 69.48 Lakh,1968,19.2
Volvo S90,Rs.58.9 Lakh,1969,18
Audi A3 cabriolet,Rs.50.59 Lakh,1395,19.2
Jaguar F-PACE,Rs.64.32 - 64.78 Lakh,1999,16.38
Porsche Panamera,Rs.1.89 - 2.52 Cr,3996,10.75
Mercedes-Benz V-Class,Rs.68.4 Lakh - 1.46 Cr,2143,16
Volvo S60,Rs.38.5 - 56.02 Lakh,1969,27.03
BMW X4,Rs.62.4 - 67.9 Lakh,1995,16.78
Volvo XC60,Rs.59.9 Lakh,1969,11.2
Mini Cooper Convertible,Rs.38.9 Lakh,1998,16.7
Bentley Continental,Rs.3.29 - 4.42 Cr,3993,12.8
Mercedes-Benz G-Class,Rs.1.5 - 2.19 Cr,2925,8.13
Mahindra Bolero Power Plus,Rs.7.61 - 8.99 Lakh,1493,16.5
BMW M Series,Rs.1.54 Cr,4395,9.8
Ferrari 812 Superfast,Rs.5.2 Cr,6496,6.7
ISUZU MUX,Rs.27.34 - 29.31 Lakh,2999,13.8
BMW 6 Series,Rs.64.9 - 75.9 Lakh,1998,14.28
BMW M2,Rs.83.4 Lakh,2979,10.63
Mercedes-Benz GLS,Rs.87.76 - 88.2 Lakh,2996,8.9
Maserati Ghibli,Rs.1.35 - 1.52 Cr,2979,16.94
Aston Martin DB11,Rs.3.97 Cr,5204,6
Lexus LS,Rs.1.82 - 1.87 Cr,3456,15.4
Bentley Mulsanne,Rs.5.55 Cr,6752,10.1
Fiat Linea,Rs.7.82 - 10.76 Lakh,1368,14.9
Maserati Quattroporte,Rs.1.71 - 2.11 Cr,2979,11.76
Bentley Bentayga,Rs.3.78 - 3.85 Cr,3998,11.11
Bentley Flying Spur,Rs.3.21 - 3.41 Cr,3993,12.5
Mini Countryman,Rs.37.4 - 42.4 Lakh,1995,19.19
Mini Clubman,Rs.41.2 Lakh,1998,13.79
Mitsubishi Outlander,Rs.26.93 Lakh,2360,10.2
Mahindra TUV 300 Plus,Rs.9.92 - 11.42 Lakh,2179,18.49
Rolls Royce Dawn,Rs.7.3 - 7.85 Cr,6598,9.8
Lexus NX,Rs.54.9 - 60.6 Lakh,2499,18.32
Maserati Levante,Rs.1.49 - 1.64 Cr,2979,12
Fiat Avventura,Rs.7.11 - 8.76 Lakh,1248,20.5
Mini Cooper 3 DOOR,Rs.29.9 - 43.9 Lakh,1496,20.7
Ferrari GTC4Lusso,Rs.4.26 - 4.97 Cr,3855,4
Fiat Abarth Punto,Rs.9.67 Lakh,1368,16.3
Lexus ES,Rs.51.9 - 56.95 Lakh,2487,22.37
Lexus RX,Rs.99.0 Lakh,3456,18.8
Mercedes-Benz AMG GT,Rs.2.27 - 2.32 Cr,3982,12.65
Aston Martin Rapide,Rs.3.29 Cr,5935,10.9
Fiat Punto EVO,Rs.5.35 - 7.47 Lakh,1172,15.8
Maserati GranTurismo,Rs.2.25 - 2.51 Cr,4691,10
Mercedes-Benz CLS,Rs.84.7 Lakh,1950,19
Ferrari 488,Rs.4.4 Cr,3902,7.75
Lexus LX,Rs.2.32 Cr,5663,6.9
Fiat Abarth Avventura,Rs.9.89 Lakh,1368,17.1
Nissan Micra Active,Rs.5.25 - 5.99 Lakh,1198,18.97
Fiat Avventura Urban Cross,Rs.6.77 - 9.77 Lakh,1248,20.5
Nissan Terrano,Rs.9.99 - 14.64 Lakh,1598,13.04
Isuzu D-Max V-Cross,Rs.16.54 - 19.99 Lakh,2499,12.4
Jeep Compass Trailhawk,Rs.26.8 - 27.6 Lakh,1956,16.3
Mercedes-Benz GLA Class,Rs.32.33 - 41.51 Lakh,2143,17.9
Volvo S60 Cross Country,Rs.44.26 Lakh,2400,19.6
BMW 3 Series GT,Rs.50.7 Lakh,1998,15.34
Mercedes-Benz GLC Coupe,Rs.62.7 - 63.7 Lakh,1950,12.74
Volvo V90 Cross Country,Rs.65.31 Lakh,1969,12.5
Mercedes-Benz E-Class All-Terrain,Rs.75.0 Lakh,1950,12.6
Audi RS5,Rs.1.11 Cr,2894,11.05
Maserati GranCabrio,Rs.2.46 - 2.69 Cr,4691,10.2
Lamborghini Huracan EVO,Rs.3.22 - 4.1 Cr,5204,7.19
